344|PX-Rev|Therapeutic |REACT Study: Mark Hornbrook, Jenny Staub|REACT Study: Mark Hornbrook, Jenny Staub
342|PX-Rev|Therapeutic Nuclear Medicine|REACT Study: Mark Hornbrook, Jenny Staub
333|PX-Rev|Radiation Therapy|REACT Study: Mark Hornbrook, Jenny Staub
92.30|PX-ICD9|Stereotactic radiosurgery, not otherwise specified; |REACT Study: Mark Hornbrook, Jenny Staub
92.20|PX-ICD9|Infusion of liquid brachytherapy radiation; I-125 radioisotope, Intracavitary brachytherapy, Includes: removal of radioisotope|REACT Study: Mark Hornbrook, Jenny Staub
92.41|PX-ICD9|Intra-operative electron radiation therapy|REACT Study: Mark Hornbrook, Jenny Staub
92.39|PX-ICD9|Stereotactic radiosurgery, not elsewhere classified|REACT Study: Mark Hornbrook, Jenny Staub
92.33|PX-ICD9|Particulate radiosurgery; Particle beam radiation (cyclotron); proton accelerator|REACT Study: Mark Hornbrook, Jenny Staub
92.32|PX-ICD9|Multi-source photon radiosurgery; Colbalt 60 radiation; Gamma irradiation|REACT Study: Mark Hornbrook, Jenny Staub
92.31|PX-ICD9|Single source photon radiosurgery; High energy x-rays, Linear accelerator (LINAC)|REACT Study: Mark Hornbrook, Jenny Staub
92.29|PX-ICD9|Other radiotherapeutic  procedure|REACT Study: Mark Hornbrook, Jenny Staub
92.28|PX-ICD9|Injection or instillation of radioisotopes|REACT Study: Mark Hornbrook, Jenny Staub
92.27|PX-ICD9|Implantation or insertion of radioactive elements; intravascular brachytherapy|REACT Study: Mark Hornbrook, Jenny Staub
92.26|PX-ICD9|Teleradiotherapy of other particulate raditaion; Neutrons, Protons NOS|REACT Study: Mark Hornbrook, Jenny Staub
92.25|PX-ICD9|Teleradiotherapy using electrons; Beta particles|REACT Study: Mark Hornbrook, Jenny Staub
92.24|PX-ICD9|Teleradiotherapy using photons; Megavoltage NOS, Supervoltage NOS, Betatron, linear accelerator|REACT Study: Mark Hornbrook, Jenny Staub
92.23|PX-ICD9|Radioisotopic teleradiotherapy; Teleradiotherapy using: cobalt-60, iodine-125, radioactive cesium|REACT Study: Mark Hornbrook, Jenny Staub
92.22|PX-ICD9|Orthovoltage radiation; Deep radiation [200-300 KVP]|REACT Study: Mark Hornbrook, Jenny Staub
92.21|PX-ICD9|Superficial radiation; contact radiation [up to 150 KVP]|REACT Study: Mark Hornbrook, Jenny Staub
S8049|PX-HCPCS|INTRAOPERATIVE RADIATION THERAPY (SINGLE ADMINISTRATION)|REACT Study: Mark Hornbrook, Jenny Staub
S2270|PX-HCPCS|INSERTION OF VAGINAL CYLINDER FOR APPLICATION OF RADIATION SOURCE OR CLINICAL BRACHYTHERAPY (REPORT SEPARATELY IN ADDITION TO RADIATION SOURCE DELIVERY)|REACT Study: Mark Hornbrook, Jenny Staub
Q3001|PX-HCPCS|Radioelements for brachytherapy, any type, each|REACT Study: Mark Hornbrook, Jenny Staub
G0340|PX-HCPCS|IMAGE-GUIDED ROBOTIC LINEAR ACCELERATOR-BASED STEROTACTIC RADIOSURGERY, DELIVERY INCLUDING COLLIMATOR CHANGES AND CUSTOM PLUGGING, FRACTIONATED TREATMENT, ALL LESIONS, PER SESSION, SECOND THROUGH FIFT|REACT Study: Mark Hornbrook, Jenny Staub
G0339|PX-HCPCS|IMAGE-GUIDED ROBOTIC LINEAR ACCELERATOR-BASED STEREOTACTIC RADIOSURGERY, COMPLETE COURSE OF THERAPY IN ONE SESSION OR FIRST SESSION OF FRACTIONATED TREATMENT|REACT Study: Mark Hornbrook, Jenny Staub
G0338|PX-HCPCS|Linear accelerator based stereotactic radiosurgery, plan|REACT Study: Mark Hornbrook, Jenny Staub
G0251|PX-HCPCS|Linear accelerator based stereotactic radiosurgery, delivery|REACT Study: Mark Hornbrook, Jenny Staub
G0243|PX-HCPCS|Multi-source photon stereotactic radiosurgery delivery|REACT Study: Mark Hornbrook, Jenny Staub
G0242|PX-HCPCS|Multi-source photon stereotactic radiosurgery plan|REACT Study: Mark Hornbrook, Jenny Staub
G0174|PX-HCPCS|IMRT delivery|REACT Study: Mark Hornbrook, Jenny Staub
G0173|PX-HCPCS|Linear accelerator based stereotactic radiosurgery, complete course of therapy in one session|REACT Study: Mark Hornbrook, Jenny Staub
C9728|PX-HCPCS|PLACEMENT OF INTERSTITIAL DEVICE(S) FOR RADIATION THERAPY/SURGERY GUIDANCE (EG, FIDUCIAL MARKERS, DOSIMETER), FOR OTHER THAN THE FOLLOWING SITES (ANY APPROACH): |REACT Study: Mark Hornbrook, Jenny Staub
C9726|PX-HCPCS|PLACEMENT AND REMOVAL (IF PERFORMED) OF APPLICATOR INTO BREAST FOR RADIATION THERAPY|REACT Study: Mark Hornbrook, Jenny Staub
C2699|PX-HCPCS|Brachytherapy source, non-stranded, not otherwise specified, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2698|PX-HCPCS|Brachytherapy source, stranded, not otherwise specified, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2643|PX-HCPCS|Brachytherapy source, non-stranded, cesium-131, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2642|PX-HCPCS|Brachytherapy source, stranded, cesium-131, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2641|PX-HCPCS|Brachytherapy source, non-stranded, palladium-103, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2640|PX-HCPCS|Brachytherapy source, stranded, palladium-103, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2639|PX-HCPCS|Brachytherapy source, non-stranded, iodine-125, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2638|PX-HCPCS|Brachytherapy source, stranded, iodine-125, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2637|PX-HCPCS|Brachytherapy source, non-stranded, ytterbium-169, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2636|PX-HCPCS|Brachytherapy linear source, non-stranded, paladium-103, per 1 mm|REACT Study: Mark Hornbrook, Jenny Staub
C2635|PX-HCPCS|Brachytherapy source, non-stranded, high activity, paladium-103, greater th...|REACT Study: Mark Hornbrook, Jenny Staub
C2634|PX-HCPCS|Brachytherapy source, non-stranded, high activity, iodine-125, greater than...|REACT Study: Mark Hornbrook, Jenny Staub
C2633|PX-HCPCS|Brachytherapy source, cesium-131, per source|REACT Study: Mark Hornbrook, Jenny Staub
C2616|PX-HCPCS|Brachytherapy source, non-stranded, yttrium-90, per source|REACT Study: Mark Hornbrook, Jenny Staub
C1728|PX-HCPCS|Catheter, brachytherapy seed administration|REACT Study: Mark Hornbrook, Jenny Staub
C1720|PX-HCPCS|Brachytherapy source, palladium 103, per source|REACT Study: Mark Hornbrook, Jenny Staub
C1719|PX-HCPCS|Brachytherapy source, non-stranded, non-high dose rate iridium-192, per sou...|REACT Study: Mark Hornbrook, Jenny Staub
