                                         The SAS System            11:22 Friday, May 9, 2008   1

                                                    Gender_
                             Obs    ob    Gender     Count     year

                               1     1      F         1859     1988
                               2     2      M         1318     1988
                               3     3      F         1895     1989
                               4     4      M         1356     1989
                               5     5      F         1945     1990
                               6     6      M         1374     1990
                               7     7      F         1961     1991
                               8     8      M         1387     1991
                               9     9      F         1981     1992
                              10     0      M         1399     1992
